2025-07-01 02:17:31 trigproc php8.2-cli:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:31 status half-configured php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:31 status installed php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:31 trigproc libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:17:31 status half-configured libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:31 status installed libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:17:48 startup packages remove
2025-07-01 02:17:48 status installed apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:48 remove apache2:arm64 2.4.62-1~deb12u2 <none>
2025-07-01 02:17:48 status half-configured apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:48 status half-installed apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:48 status triggers-pending man-db:arm64 2.11.2-2
2025-07-01 02:17:49 status config-files apache2:arm64 2.4.62-1~deb12u2
2025-07-01 02:17:49 startup packages configure
2025-07-01 02:17:49 trigproc man-db:arm64 2.11.2-2 <none>
2025-07-01 02:17:49 status half-configured man-db:arm64 2.11.2-2
2025-07-01 02:17:51 status installed man-db:arm64 2.11.2-2
2025-07-01 02:18:09 startup archives unpack
2025-07-01 02:18:09 install nginx-common:all <none> 1.22.1-9+deb12u2
2025-07-01 02:18:09 status half-installed nginx-common:all 1.22.1-9+deb12u2
2025-07-01 02:18:09 status unpacked nginx-common:all 1.22.1-9+deb12u2
2025-07-01 02:18:09 install nginx:arm64 <none> 1.22.1-9+deb12u2
2025-07-01 02:18:09 status half-installed nginx:arm64 1.22.1-9+deb12u2
2025-07-01 02:18:09 status triggers-pending man-db:arm64 2.11.2-2
2025-07-01 02:18:09 status unpacked nginx:arm64 1.22.1-9+deb12u2
2025-07-01 02:18:09 startup packages configure
2025-07-01 02:18:09 configure nginx-common:all 1.22.1-9+deb12u2 <none>
2025-07-01 02:18:09 status unpacked nginx-common:all 1.22.1-9+deb12u2
2025-07-01 02:18:10 status half-configured nginx-common:all 1.22.1-9+deb12u2
2025-07-01 02:18:12 status installed nginx-common:all 1.22.1-9+deb12u2
2025-07-01 02:18:12 configure nginx:arm64 1.22.1-9+deb12u2 <none>
2025-07-01 02:18:12 status unpacked nginx:arm64 1.22.1-9+deb12u2
2025-07-01 02:18:12 status half-configured nginx:arm64 1.22.1-9+deb12u2
2025-07-01 02:18:13 status installed nginx:arm64 1.22.1-9+deb12u2
2025-07-01 02:18:13 trigproc man-db:arm64 2.11.2-2 <none>
2025-07-01 02:18:13 status half-configured man-db:arm64 2.11.2-2
2025-07-01 02:18:13 status installed man-db:arm64 2.11.2-2
2025-07-01 02:19:44 startup archives unpack
2025-07-01 02:19:44 install libonig5:arm64 <none> 6.9.8-1
2025-07-01 02:19:44 status triggers-pending libc-bin:arm64 2.36-9+rpt2+deb12u10
2025-07-01 02:19:44 status half-installed libonig5:arm64 6.9.8-1
2025-07-01 02:19:44 status unpacked libonig5:arm64 6.9.8-1
2025-07-01 02:19:44 install libzip4:arm64 <none> 1.7.3-1+b1
2025-07-01 02:19:44 status half-installed libzip4:arm64 1.7.3-1+b1
2025-07-01 02:19:44 status unpacked libzip4:arm64 1.7.3-1+b1
2025-07-01 02:19:44 install php8.2-curl:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:44 status triggers-pending libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:44 status half-installed php8.2-curl:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:45 status unpacked php8.2-curl:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:45 install php8.2-fpm:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:45 status half-installed php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:45 status triggers-pending man-db:arm64 2.11.2-2
2025-07-01 02:19:45 status unpacked php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:45 install php8.2-gd:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:45 status half-installed php8.2-gd:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:45 status unpacked php8.2-gd:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:45 install php8.2-mbstring:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:45 status half-installed php8.2-mbstring:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 status unpacked php8.2-mbstring:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 install php8.2-mysql:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:46 status half-installed php8.2-mysql:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 status unpacked php8.2-mysql:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 install php8.2-xml:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:46 status half-installed php8.2-xml:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 status unpacked php8.2-xml:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 install php8.2-zip:arm64 <none> 8.2.28-1~deb12u1
2025-07-01 02:19:46 status half-installed php8.2-zip:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 status unpacked php8.2-zip:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 startup packages configure
2025-07-01 02:19:46 configure php8.2-mysql:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:19:46 status unpacked php8.2-mysql:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:46 status half-configured php8.2-mysql:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:49 status installed php8.2-mysql:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:49 status triggers-pending php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:50 configure libzip4:arm64 1.7.3-1+b1 <none>
2025-07-01 02:19:50 status unpacked libzip4:arm64 1.7.3-1+b1
2025-07-01 02:19:50 status half-configured libzip4:arm64 1.7.3-1+b1
2025-07-01 02:19:50 status installed libzip4:arm64 1.7.3-1+b1
2025-07-01 02:19:50 configure php8.2-fpm:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:19:50 status unpacked php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:50 status half-configured php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:53 status installed php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:53 status triggers-pending php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:53 configure php8.2-curl:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:19:53 status unpacked php8.2-curl:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:53 status half-configured php8.2-curl:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:54 status installed php8.2-curl:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:54 configure php8.2-xml:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:19:54 status unpacked php8.2-xml:arm64 8.2.28-1~deb12u1
2025-07-01 02:19:54 status half-configured php8.2-xml:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:00 status installed php8.2-xml:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:00 configure php8.2-gd:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:20:00 status unpacked php8.2-gd:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:00 status half-configured php8.2-gd:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:01 status installed php8.2-gd:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:01 configure libonig5:arm64 6.9.8-1 <none>
2025-07-01 02:20:01 status unpacked libonig5:arm64 6.9.8-1
2025-07-01 02:20:01 status half-configured libonig5:arm64 6.9.8-1
2025-07-01 02:20:01 status installed libonig5:arm64 6.9.8-1
2025-07-01 02:20:01 configure php8.2-zip:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:20:01 status unpacked php8.2-zip:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:01 status half-configured php8.2-zip:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:02 status installed php8.2-zip:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:02 configure php8.2-mbstring:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:20:02 status unpacked php8.2-mbstring:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:02 status half-configured php8.2-mbstring:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:03 status installed php8.2-mbstring:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:03 trigproc man-db:arm64 2.11.2-2 <none>
2025-07-01 02:20:03 status half-configured man-db:arm64 2.11.2-2
2025-07-01 02:20:04 status installed man-db:arm64 2.11.2-2
2025-07-01 02:20:04 trigproc libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:20:04 status half-configured libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:04 status installed libapache2-mod-php8.2:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:04 trigproc libc-bin:arm64 2.36-9+rpt2+deb12u10 <none>
2025-07-01 02:20:04 status half-configured libc-bin:arm64 2.36-9+rpt2+deb12u10
2025-07-01 02:20:04 status installed libc-bin:arm64 2.36-9+rpt2+deb12u10
2025-07-01 02:20:04 trigproc php8.2-cli:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:20:04 status half-configured php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:04 status installed php8.2-cli:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:04 trigproc php8.2-fpm:arm64 8.2.28-1~deb12u1 <none>
2025-07-01 02:20:04 status half-configured php8.2-fpm:arm64 8.2.28-1~deb12u1
2025-07-01 02:20:05 status installed php8.2-fpm:arm64 8.2.28-1~deb12u1
